PersonID,Movies,Rating 
1,Inside Out 2,NA
2,Inside Out 2,5
3,Inside Out 2,NA
4,Inside Out 2,NA
5,Inside Out 2,NA
1,Deadpool & Wolverine,3
2,Deadpool & Wolverine,5
3,Deadpool & Wolverine,3
4,Deadpool & Wolverine,4
5,Deadpool & Wolverine,NA
1,Wicked,NA
2,Wicked,NA
3,Wicked,NA
4,Wicked,NA
5,Wicked,NA
1,Beetlejuice,1
2,Beetlejuice,2
3,Beetlejuice,1
4,Beetlejuice,NA
5,Beetlejuice,NA
1,Venom: The Last Dance,NA
2,Venom: The Last Dance,2
3,Venom: The Last Dance,2
4,Venom: The Last Dance,NA
5,Venom: The Last Dance,NA
1,Dune: Part Two,NA
2,Dune: Part Two,NA
3,Dune: Part Two,NA
4,Dune: Part Two,NA
5,Dune: Part Two,NA
,,2.8